39.0 APEX_CODE,DEBUG;APEX_PROFILING,NONE;CALLOUT,NONE;DB,NONE;SYSTEM,NONE;VALIDATION,NONE;VISUALFORCE,NONE;WAVE,NONE;WORKFLOW,NONE
06:02:13.57 (15057255365)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:13.57 (15481353011)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:13.57 (15798580680)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:14.271 (16271668072)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:14.271 (16568736310)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:14.271 (16923665537)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:14.271 (17188682273)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:15.543 (17543262599)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:15.543 (17853818796)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:15.543 (18309326592)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:16.639 (18639229028)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:16.639 (19184140225)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:16.639 (19485342286)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:17.940 (19940202378)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:17.940 (20244839838)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:17.940 (20607695366)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:17.940 (20932260264)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:19.299 (21299230080)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:19.299 (21625543628)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:19.299 (21952519274)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:19.299 (22264563393)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:20.629 (22629977683)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:20.629 (22965609975)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:20.629 (23340950460)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:21.712 (23712081770)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:21.712 (24146566678)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:21.712 (24470474888)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:22.948 (24948614613)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:22.948 (25280448737)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:22.948 (25805727067)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:24.173 (26173132523)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:24.173 (26723989590)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:24.173 (27040062449)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:25.519 (27519653247)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:25.519 (27948221567)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:25.519 (28504234458)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:26.886 (28886615565)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:26.886 (29439623874)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:26.886 (29820745116)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:28.532 (30532744286)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:28.532 (30909800746)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:28.532 (31524500849)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:29.967 (31967556817)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:29.967 (32838470584)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:31.334 (33334100430)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:31.334 (34060529857)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:32.603 (34603253722)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:32.603 (35179601805)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:32.603 (35534218387)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:33.960 (35960637266)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:33.960 (36294335765)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:33.960 (36882000262)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:35.333 (37333984519)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:35.333 (37869900088)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:Product2
06:02:35.333 (38213831250)|CODE_UNIT_FINISHED|Workflow:Product2
06:02:36.896 (38896119847)|EXCEPTION_THROWN|[33]|System.AssertException: Assertion Failed: Expected: 50, Actual: 0
06:02:36.896 (38896446623)|FATAL_ERROR|System.AssertException: Assertion Failed: Expected: 50, Actual: 0

Class.BookListControllerTest: line 33, column 1
06:02:36.896 (38896457702)|FATAL_ERROR|System.AssertException: Assertion Failed: Expected: 50, Actual: 0

Class.BookListControllerTest: line 33, column 1
06:02:36.896 (38896466245)|CODE_UNIT_FINISHED|BookListControllerTest.TestMethodOne
06:02:36.896 (38898552183)|EXECUTION_FINISHED
